Split, dirigido por M. Night Shyamalan, no ano de 2016, tem metascore de 62 e é o 3 colocado no ranking
Hounds of Love, dirigido por Ben Young, no ano de 2016, tem metascore de 72 e é o 23 colocado no ranking
Dead Awake, dirigido por Phillip Guzman, no ano de 2016, tem metascore de 0 e é o 28 colocado no ranking
Resident Evil: The Final Chapter, dirigido por Paul W.S. Anderson, no ano de 2016, tem metascore de 49 e é o 35 colocado no ranking
Don't Fuck in the Woods, dirigido por Shawn Burkett, no ano de 2016, tem metascore de 0 e é o 43 colocado no ranking
Don't Breathe, dirigido por Fede Alvarez, no ano de 2016, tem metascore de 71 e é o 57 colocado no ranking
The Autopsy of Jane Doe, dirigido por André Øvredal, no ano de 2016, tem metascore de 65 e é o 62 colocado no ranking
The Void, dirigido por Jeremy Gillespie, no ano de 2016, tem metascore de 62 e é o 98 colocado no ranking
The Belko Experiment, dirigido por Greg McLean, no ano de 2016, tem metascore de 44 e é o 111 colocado no ranking
The Neon Demon, dirigido por Nicolas Winding Refn, no ano de 2016, tem metascore de 51 e é o 117 colocado no ranking
10 Cloverfield Lane, dirigido por Dan Trachtenberg, no ano de 2016, tem metascore de 76 e é o 119 colocado no ranking
The Shallows, dirigido por Jaume Collet-Serra, no ano de 2016, tem metascore de 59 e é o 133 colocado no ranking
Twin Peaks: The Missing Pieces, dirigido por David Lynch, no ano de 2014, tem metascore de 0 e é o 155 colocado no ranking
Aliens vs Predator - Requiem, dirigido por Colin Strause, no ano de 2007, tem metascore de 29 e é o 156 colocado no ranking
Beyond the Gates, dirigido por Jackson Stewart, no ano de 2016, tem metascore de 59 e é o 173 colocado no ranking
The Conjuring 2, dirigido por James Wan, no ano de 2016, tem metascore de 65 e é o 179 colocado no ranking
The VVitch: A New-England Folktale, dirigido por Robert Eggers, no ano de 2015, tem metascore de 83 e é o 182 colocado no ranking
Crimson Peak, dirigido por Guillermo del Toro, no ano de 2015, tem metascore de 66 e é o 188 colocado no ranking
Morgan, dirigido por Luke Scott, no ano de 2016, tem metascore de 48 e é o 194 colocado no ranking
A Cure for Wellness, dirigido por Gore Verbinski, no ano de 2016, tem metascore de 47 e é o 202 colocado no ranking
