The Prestige, dirigido por Christopher Nolan, no ano de 2006, tem metascore de 66 e é o 65 colocado no ranking
Pirates of the Caribbean: Dead Man's Chest, dirigido por Gore Verbinski, no ano de 2006, tem metascore de 53 e é o 79 colocado no ranking
The Departed, dirigido por Martin Scorsese, no ano de 2006, tem metascore de 85 e é o 100 colocado no ranking
300, dirigido por Zack Snyder, no ano de 2006, tem metascore de 52 e é o 114 colocado no ranking
Casino Royale, dirigido por Martin Campbell, no ano de 2006, tem metascore de 80 e é o 165 colocado no ranking
Cars, dirigido por John Lasseter, no ano de 2006, tem metascore de 73 e é o 222 colocado no ranking
Pan's Labyrinth, dirigido por Guillermo del Toro, no ano de 2006, tem metascore de 98 e é o 231 colocado no ranking
Apocalypto, dirigido por Mel Gibson, no ano de 2006, tem metascore de 68 e é o 233 colocado no ranking
Children of Men, dirigido por Alfonso Cuarón, no ano de 2006, tem metascore de 84 e é o 247 colocado no ranking
The Devil Wears Prada, dirigido por David Frankel, no ano de 2006, tem metascore de 62 e é o 298 colocado no ranking
The Fast and the Furious: Tokyo Drift, dirigido por Justin Lin, no ano de 2006, tem metascore de 45 e é o 309 colocado no ranking
Step Up, dirigido por Anne Fletcher, no ano de 2006, tem metascore de 48 e é o 321 colocado no ranking
Silent Hill, dirigido por Christophe Gans, no ano de 2006, tem metascore de 0 e é o 446 colocado no ranking
Marie Antoinette, dirigido por Sofia Coppola, no ano de 2006, tem metascore de 65 e é o 472 colocado no ranking
The Lives of Others, dirigido por Florian Henckel von Donnersmarck, no ano de 2006, tem metascore de 89 e é o 477 colocado no ranking
A Good Year, dirigido por Ridley Scott, no ano de 2006, tem metascore de 47 e é o 531 colocado no ranking
Deja Vu, dirigido por Tony Scott, no ano de 2006, tem metascore de 0 e é o 533 colocado no ranking
The Break-Up, dirigido por Peyton Reed, no ano de 2006, tem metascore de 45 e é o 551 colocado no ranking
Idiocracy, dirigido por Mike Judge, no ano de 2006, tem metascore de 66 e é o 560 colocado no ranking
Little Miss Sunshine, dirigido por Jonathan Dayton, no ano de 2006, tem metascore de 80 e é o 574 colocado no ranking
She's the Man, dirigido por Andy Fickman, no ano de 2006, tem metascore de 45 e é o 594 colocado no ranking
X-Men: The Last Stand, dirigido por Brett Ratner, no ano de 2006, tem metascore de 58 e é o 627 colocado no ranking
The Host, dirigido por Bong Joon Ho, no ano de 2006, tem metascore de 85 e é o 633 colocado no ranking
The Pursuit of Happyness, dirigido por Gabriele Muccino, no ano de 2006, tem metascore de 64 e é o 641 colocado no ranking
Blood Diamond, dirigido por Edward Zwick, no ano de 2006, tem metascore de 64 e é o 670 colocado no ranking
Happy Feet, dirigido por George Miller, no ano de 2006, tem metascore de 77 e é o 716 colocado no ranking
The Illusionist, dirigido por Neil Burger, no ano de 2006, tem metascore de 68 e é o 728 colocado no ranking
The Da Vinci Code, dirigido por Ron Howard, no ano de 2006, tem metascore de 46 e é o 734 colocado no ranking
Lady in the Water, dirigido por M. Night Shyamalan, no ano de 2006, tem metascore de 36 e é o 774 colocado no ranking
The Fountain, dirigido por Darren Aronofsky, no ano de 2006, tem metascore de 51 e é o 775 colocado no ranking
Rescue Dawn, dirigido por Werner Herzog, no ano de 2006, tem metascore de 77 e é o 797 colocado no ranking
Inside Man, dirigido por Spike Lee, no ano de 2006, tem metascore de 76 e é o 816 colocado no ranking
Rocky Balboa, dirigido por Sylvester Stallone, no ano de 2006, tem metascore de 63 e é o 831 colocado no ranking
The Hills Have Eyes, dirigido por Alexandre Aja, no ano de 2006, tem metascore de 52 e é o 859 colocado no ranking
Mission: Impossible III, dirigido por J.J. Abrams, no ano de 2006, tem metascore de 66 e é o 870 colocado no ranking
Babel, dirigido por Alejandro González Iñárritu, no ano de 2006, tem metascore de 69 e é o 886 colocado no ranking
The Fall, dirigido por Tarsem Singh, no ano de 2006, tem metascore de 64 e é o 898 colocado no ranking
Snakes on a Plane, dirigido por David R. Ellis, no ano de 2006, tem metascore de 58 e é o 902 colocado no ranking
Slither, dirigido por James Gunn, no ano de 2006, tem metascore de 69 e é o 909 colocado no ranking
Perfume: The Story of a Murderer, dirigido por Tom Tykwer, no ano de 2006, tem metascore de 56 e é o 919 colocado no ranking
Superman Returns, dirigido por Bryan Singer, no ano de 2006, tem metascore de 72 e é o 925 colocado no ranking
Talladega Nights: The Ballad of Ricky Bobby, dirigido por Adam McKay, no ano de 2006, tem metascore de 66 e é o 936 colocado no ranking
Lucky Number Slevin, dirigido por Paul McGuigan, no ano de 2006, tem metascore de 53 e é o 960 colocado no ranking
Inland Empire, dirigido por David Lynch, no ano de 2006, tem metascore de 0 e é o 966 colocado no ranking
