5- 25- 77, dirigido por Patrick Read Johnson, no ano de 2007, tem metascore de 0 e é o 40 colocado no ranking
Pirates of the Caribbean: At World's End, dirigido por Gore Verbinski, no ano de 2007, tem metascore de 50 e é o 76 colocado no ranking
No Country for Old Men, dirigido por Ethan Coen, no ano de 2007, tem metascore de 91 e é o 137 colocado no ranking
Superbad, dirigido por Greg Mottola, no ano de 2007, tem metascore de 76 e é o 149 colocado no ranking
Aliens vs Predator - Requiem, dirigido por Colin Strause, no ano de 2007, tem metascore de 29 e é o 156 colocado no ranking
Hot Fuzz, dirigido por Edgar Wright, no ano de 2007, tem metascore de 81 e é o 160 colocado no ranking
Into the Wild, dirigido por Sean Penn, no ano de 2007, tem metascore de 73 e é o 198 colocado no ranking
Transformers, dirigido por Michael Bay, no ano de 2007, tem metascore de 61 e é o 213 colocado no ranking
Zodiac, dirigido por David Fincher, no ano de 2007, tem metascore de 78 e é o 278 colocado no ranking
Death Proof, dirigido por Quentin Tarantino, no ano de 2007, tem metascore de 0 e é o 283 colocado no ranking
There Will Be Blood, dirigido por Paul Thomas Anderson, no ano de 2007, tem metascore de 92 e é o 300 colocado no ranking
Harry Potter and the Order of the Phoenix, dirigido por David Yates, no ano de 2007, tem metascore de 71 e é o 315 colocado no ranking
Spider-Man 3, dirigido por Sam Raimi, no ano de 2007, tem metascore de 59 e é o 345 colocado no ranking
Stardust, dirigido por Matthew Vaughn, no ano de 2007, tem metascore de 66 e é o 347 colocado no ranking
Atonement, dirigido por Joe Wright, no ano de 2007, tem metascore de 0 e é o 418 colocado no ranking
The Babysitters, dirigido por David Ross, no ano de 2007, tem metascore de 35 e é o 422 colocado no ranking
The Bourne Ultimatum, dirigido por Paul Greengrass, no ano de 2007, tem metascore de 85 e é o 428 colocado no ranking
American Gangster, dirigido por Ridley Scott, no ano de 2007, tem metascore de 76 e é o 471 colocado no ranking
Hairspray, dirigido por Adam Shankman, no ano de 2007, tem metascore de 81 e é o 487 colocado no ranking
Ratatouille, dirigido por Brad Bird, no ano de 2007, tem metascore de 96 e é o 490 colocado no ranking
I Am Legend, dirigido por Francis Lawrence, no ano de 2007, tem metascore de 65 e é o 496 colocado no ranking
Shooter, dirigido por Antoine Fuqua, no ano de 2007, tem metascore de 53 e é o 512 colocado no ranking
P.S. I Love You, dirigido por Richard LaGravenese, no ano de 2007, tem metascore de 0 e é o 544 colocado no ranking
Juno, dirigido por Jason Reitman, no ano de 2007, tem metascore de 81 e é o 568 colocado no ranking
Enchanted, dirigido por Kevin Lima, no ano de 2007, tem metascore de 75 e é o 572 colocado no ranking
Ghost Rider, dirigido por Mark Steven Johnson, no ano de 2007, tem metascore de 35 e é o 586 colocado no ranking
Sunshine, dirigido por Danny Boyle, no ano de 2007, tem metascore de 64 e é o 589 colocado no ranking
The Assassination of Jesse James by the Coward Robert Ford, dirigido por Andrew Dominik, no ano de 2007, tem metascore de 68 e é o 614 colocado no ranking
Knocked Up, dirigido por Judd Apatow, no ano de 2007, tem metascore de 85 e é o 636 colocado no ranking
Sweeney Todd: The Demon Barber of Fleet Street, dirigido por Tim Burton, no ano de 2007, tem metascore de 83 e é o 651 colocado no ranking
Eastern Promises, dirigido por David Cronenberg, no ano de 2007, tem metascore de 82 e é o 659 colocado no ranking
Gone Baby Gone, dirigido por Ben Affleck, no ano de 2007, tem metascore de 72 e é o 663 colocado no ranking
The Mist, dirigido por Frank Darabont, no ano de 2007, tem metascore de 58 e é o 676 colocado no ranking
Live Free or Die Hard, dirigido por Len Wiseman, no ano de 2007, tem metascore de 69 e é o 699 colocado no ranking
Funny Games, dirigido por Michael Haneke, no ano de 2007, tem metascore de 0 e é o 701 colocado no ranking
The Heartbreak Kid, dirigido por Bobby Farrelly, no ano de 2007, tem metascore de 46 e é o 715 colocado no ranking
Fracture, dirigido por Gregory Hoblit, no ano de 2007, tem metascore de 68 e é o 751 colocado no ranking
August Rush, dirigido por Kirsten Sheridan, no ano de 2007, tem metascore de 38 e é o 761 colocado no ranking
Mr. Brooks, dirigido por Bruce A. Evans, no ano de 2007, tem metascore de 45 e é o 783 colocado no ranking
Beowulf, dirigido por Robert Zemeckis, no ano de 2007, tem metascore de 59 e é o 803 colocado no ranking
1408, dirigido por Mikael Håfström, no ano de 2007, tem metascore de 64 e é o 805 colocado no ranking
Grindhouse, dirigido por Robert Rodriguez, no ano de 2007, tem metascore de 0 e é o 829 colocado no ranking
Freedom Writers, dirigido por Richard LaGravenese, no ano de 2007, tem metascore de 64 e é o 858 colocado no ranking
28 Weeks Later, dirigido por Juan Carlos Fresnadillo, no ano de 2007, tem metascore de 78 e é o 876 colocado no ranking
Planet Terror, dirigido por Robert Rodriguez, no ano de 2007, tem metascore de 55 e é o 896 colocado no ranking
Ocean's Thirteen, dirigido por Steven Soderbergh, no ano de 2007, tem metascore de 62 e é o 908 colocado no ranking
Bridge to Terabithia, dirigido por Gabor Csupo, no ano de 2007, tem metascore de 74 e é o 913 colocado no ranking
The Girl Next Door, dirigido por Gregory Wilson, no ano de 2007, tem metascore de 29 e é o 918 colocado no ranking
The Golden Compass, dirigido por Chris Weitz, no ano de 2007, tem metascore de 51 e é o 920 colocado no ranking
Disturbia, dirigido por D.J. Caruso, no ano de 2007, tem metascore de 0 e é o 972 colocado no ranking
