The Dark Knight, dirigido por Christopher Nolan, no ano de 2008, tem metascore de 82 e é o 55 colocado no ranking
Mamma Mia!, dirigido por Phyllida Lloyd, no ano de 2008, tem metascore de 51 e é o 129 colocado no ranking
Twilight, dirigido por Catherine Hardwicke, no ano de 2008, tem metascore de 56 e é o 166 colocado no ranking
Tropic Thunder, dirigido por Ben Stiller, no ano de 2008, tem metascore de 71 e é o 178 colocado no ranking
Iron Man, dirigido por Jon Favreau, no ano de 2008, tem metascore de 79 e é o 204 colocado no ranking
The House Bunny, dirigido por Fred Wolf, no ano de 2008, tem metascore de 55 e é o 304 colocado no ranking
RocknRolla, dirigido por Guy Ritchie, no ano de 2008, tem metascore de 53 e é o 323 colocado no ranking
Step Brothers, dirigido por Adam McKay, no ano de 2008, tem metascore de 51 e é o 361 colocado no ranking
Slumdog Millionaire, dirigido por Danny Boyle, no ano de 2008, tem metascore de 86 e é o 366 colocado no ranking
Wanted, dirigido por Timur Bekmambetov, no ano de 2008, tem metascore de 64 e é o 374 colocado no ranking
The Incredible Hulk, dirigido por Louis Leterrier, no ano de 2008, tem metascore de 61 e é o 397 colocado no ranking
Bronson, dirigido por Nicolas Winding Refn, no ano de 2008, tem metascore de 0 e é o 403 colocado no ranking
Taken, dirigido por Pierre Morel, no ano de 2008, tem metascore de 50 e é o 411 colocado no ranking
The Curious Case of Benjamin Button, dirigido por David Fincher, no ano de 2008, tem metascore de 70 e é o 426 colocado no ranking
Revolutionary Road, dirigido por Sam Mendes, no ano de 2008, tem metascore de 69 e é o 460 colocado no ranking
Forgetting Sarah Marshall, dirigido por Nicholas Stoller, no ano de 2008, tem metascore de 67 e é o 481 colocado no ranking
Cloverfield, dirigido por Matt Reeves, no ano de 2008, tem metascore de 64 e é o 493 colocado no ranking
The Boy in the Striped Pyjamas, dirigido por Mark Herman, no ano de 2008, tem metascore de 55 e é o 511 colocado no ranking
The Happening, dirigido por M. Night Shyamalan, no ano de 2008, tem metascore de 34 e é o 513 colocado no ranking
Never Back Down, dirigido por Jeff Wadlow, no ano de 2008, tem metascore de 39 e é o 597 colocado no ranking
Hellboy II: The Golden Army, dirigido por Guillermo del Toro, no ano de 2008, tem metascore de 78 e é o 610 colocado no ranking
WALL·E, dirigido por Andrew Stanton, no ano de 2008, tem metascore de 0 e é o 635 colocado no ranking
Gran Torino, dirigido por Clint Eastwood, no ano de 2008, tem metascore de 0 e é o 646 colocado no ranking
Pineapple Express, dirigido por David Gordon Green, no ano de 2008, tem metascore de 64 e é o 661 colocado no ranking
The Hurt Locker, dirigido por Kathryn Bigelow, no ano de 2008, tem metascore de 94 e é o 673 colocado no ranking
Seven Pounds, dirigido por Gabriele Muccino, no ano de 2008, tem metascore de 36 e é o 685 colocado no ranking
Hunger, dirigido por Steve McQueen, no ano de 2008, tem metascore de 82 e é o 687 colocado no ranking
Jumper, dirigido por Doug Liman, no ano de 2008, tem metascore de 35 e é o 688 colocado no ranking
Australia, dirigido por Baz Luhrmann, no ano de 2008, tem metascore de 53 e é o 704 colocado no ranking
The Strangers, dirigido por Bryan Bertino, no ano de 2008, tem metascore de 47 e é o 718 colocado no ranking
Body of Lies, dirigido por Ridley Scott, no ano de 2008, tem metascore de 57 e é o 738 colocado no ranking
The Mummy: Tomb of the Dragon Emperor, dirigido por Rob Cohen, no ano de 2008, tem metascore de 31 e é o 740 colocado no ranking
In Bruges, dirigido por Martin McDonagh, no ano de 2008, tem metascore de 67 e é o 753 colocado no ranking
Eagle Eye, dirigido por D.J. Caruso, no ano de 2008, tem metascore de 43 e é o 764 colocado no ranking
Indiana Jones and the Kingdom of the Crystal Skull, dirigido por Steven Spielberg, no ano de 2008, tem metascore de 65 e é o 768 colocado no ranking
Quantum of Solace, dirigido por Marc Forster, no ano de 2008, tem metascore de 58 e é o 771 colocado no ranking
Hancock, dirigido por Peter Berg, no ano de 2008, tem metascore de 49 e é o 790 colocado no ranking
Zack and Miri Make a Porno, dirigido por Kevin Smith, no ano de 2008, tem metascore de 56 e é o 793 colocado no ranking
Disaster Movie, dirigido por Jason Friedberg, no ano de 2008, tem metascore de 15 e é o 830 colocado no ranking
Fool's Gold, dirigido por Andy Tennant, no ano de 2008, tem metascore de 29 e é o 834 colocado no ranking
You Don't Mess with the Zohan, dirigido por Dennis Dugan, no ano de 2008, tem metascore de 54 e é o 838 colocado no ranking
21, dirigido por Robert Luketic, no ano de 2008, tem metascore de 48 e é o 851 colocado no ranking
Vicky Cristina Barcelona, dirigido por Woody Allen, no ano de 2008, tem metascore de 70 e é o 854 colocado no ranking
Kung Fu Panda, dirigido por Mark Osborne, no ano de 2008, tem metascore de 73 e é o 855 colocado no ranking
Changeling, dirigido por Clint Eastwood, no ano de 2008, tem metascore de 63 e é o 860 colocado no ranking
Sex and the City, dirigido por Michael Patrick King, no ano de 2008, tem metascore de 53 e é o 894 colocado no ranking
Rambo, dirigido por Sylvester Stallone, no ano de 2008, tem metascore de 46 e é o 895 colocado no ranking
The Midnight Meat Train, dirigido por Ryûhei Kitamura, no ano de 2008, tem metascore de 58 e é o 941 colocado no ranking
Death Race, dirigido por Paul W.S. Anderson, no ano de 2008, tem metascore de 43 e é o 955 colocado no ranking
The Other Boleyn Girl, dirigido por Justin Chadwick, no ano de 2008, tem metascore de 50 e é o 963 colocado no ranking
