Inglourious Basterds, dirigido por Quentin Tarantino, no ano de 2009, tem metascore de 69 e é o 78 colocado no ranking
Avatar, dirigido por James Cameron, no ano de 2009, tem metascore de 83 e é o 88 colocado no ranking
Star Trek, dirigido por J.J. Abrams, no ano de 2009, tem metascore de 82 e é o 141 colocado no ranking
Watchmen, dirigido por Zack Snyder, no ano de 2009, tem metascore de 56 e é o 148 colocado no ranking
Kynodontas, dirigido por Yorgos Lanthimos, no ano de 2009, tem metascore de 73 e é o 252 colocado no ranking
The Hangover, dirigido por Todd Phillips, no ano de 2009, tem metascore de 73 e é o 256 colocado no ranking
X-Men Origins: Wolverine, dirigido por Gavin Hood, no ano de 2009, tem metascore de 40 e é o 269 colocado no ranking
Sherlock Holmes, dirigido por Guy Ritchie, no ano de 2009, tem metascore de 57 e é o 282 colocado no ranking
The Blind Side, dirigido por John Lee Hancock, no ano de 2009, tem metascore de 53 e é o 311 colocado no ranking
Fast & Furious, dirigido por Justin Lin, no ano de 2009, tem metascore de 46 e é o 341 colocado no ranking
Jennifer's Body, dirigido por Karyn Kusama, no ano de 2009, tem metascore de 47 e é o 349 colocado no ranking
Zombieland, dirigido por Ruben Fleischer, no ano de 2009, tem metascore de 73 e é o 364 colocado no ranking
Couples Retreat, dirigido por Peter Billingsley, no ano de 2009, tem metascore de 23 e é o 398 colocado no ranking
3 Idiots, dirigido por Rajkumar Hirani, no ano de 2009, tem metascore de 67 e é o 431 colocado no ranking
Coraline, dirigido por Henry Selick, no ano de 2009, tem metascore de 80 e é o 443 colocado no ranking
Pandorum, dirigido por Christian Alvart, no ano de 2009, tem metascore de 28 e é o 453 colocado no ranking
The Proposal, dirigido por Anne Fletcher, no ano de 2009, tem metascore de 48 e é o 457 colocado no ranking
District 9, dirigido por Neill Blomkamp, no ano de 2009, tem metascore de 81 e é o 469 colocado no ranking
2012, dirigido por Roland Emmerich, no ano de 2009, tem metascore de 49 e é o 473 colocado no ranking
Harry Potter and the Half-Blood Prince, dirigido por David Yates, no ano de 2009, tem metascore de 78 e é o 474 colocado no ranking
Law Abiding Citizen, dirigido por F. Gary Gray, no ano de 2009, tem metascore de 34 e é o 499 colocado no ranking
Up, dirigido por Pete Docter, no ano de 2009, tem metascore de 88 e é o 500 colocado no ranking
Mr. Nobody, dirigido por Jaco Van Dormael, no ano de 2009, tem metascore de 63 e é o 505 colocado no ranking
(500) Days of Summer, dirigido por Marc Webb, no ano de 2009, tem metascore de 76 e é o 508 colocado no ranking
Män som hatar kvinnor, dirigido por Niels Arden Oplev, no ano de 2009, tem metascore de 76 e é o 591 colocado no ranking
Moon, dirigido por Duncan Jones, no ano de 2009, tem metascore de 67 e é o 599 colocado no ranking
He's Just Not That Into You, dirigido por Ken Kwapis, no ano de 2009, tem metascore de 47 e é o 603 colocado no ranking
The Lovely Bones, dirigido por Peter Jackson, no ano de 2009, tem metascore de 42 e é o 613 colocado no ranking
Antichrist, dirigido por Lars von Trier, no ano de 2009, tem metascore de 49 e é o 623 colocado no ranking
Friday the 13th, dirigido por Marcus Nispel, no ano de 2009, tem metascore de 34 e é o 624 colocado no ranking
Public Enemies, dirigido por Michael Mann, no ano de 2009, tem metascore de 70 e é o 656 colocado no ranking
Hachi: A Dog's Tale, dirigido por Lasse Hallström, no ano de 2009, tem metascore de 61 e é o 696 colocado no ranking
Transformers: Revenge of the Fallen, dirigido por Michael Bay, no ano de 2009, tem metascore de 35 e é o 711 colocado no ranking
El secreto de sus ojos, dirigido por Juan José Campanella, no ano de 2009, tem metascore de 80 e é o 743 colocado no ranking
The Road, dirigido por John Hillcoat, no ano de 2009, tem metascore de 0 e é o 756 colocado no ranking
Orphan, dirigido por Jaume Collet-Serra, no ano de 2009, tem metascore de 42 e é o 813 colocado no ranking
Fantastic Mr. Fox, dirigido por Wes Anderson, no ano de 2009, tem metascore de 83 e é o 815 colocado no ranking
The Imaginarium of Doctor Parnassus, dirigido por Terry Gilliam, no ano de 2009, tem metascore de 65 e é o 822 colocado no ranking
G.I. Joe: The Rise of Cobra, dirigido por Stephen Sommers, no ano de 2009, tem metascore de 32 e é o 823 colocado no ranking
The Princess and the Frog, dirigido por Ron Clements, no ano de 2009, tem metascore de 73 e é o 844 colocado no ranking
Terminator Salvation, dirigido por McG, no ano de 2009, tem metascore de 49 e é o 857 colocado no ranking
Dragonball Evolution, dirigido por James Wong, no ano de 2009, tem metascore de 45 e é o 872 colocado no ranking
The Ugly Truth, dirigido por Robert Luketic, no ano de 2009, tem metascore de 28 e é o 899 colocado no ranking
Bride Wars, dirigido por Gary Winick, no ano de 2009, tem metascore de 24 e é o 900 colocado no ranking
Notorious, dirigido por George Tillman Jr., no ano de 2009, tem metascore de 60 e é o 915 colocado no ranking
17 Again, dirigido por Burr Steers, no ano de 2009, tem metascore de 48 e é o 923 colocado no ranking
Precious, dirigido por Lee Daniels, no ano de 2009, tem metascore de 79 e é o 927 colocado no ranking
The Human Centipede (First Sequence), dirigido por Tom Six, no ano de 2009, tem metascore de 33 e é o 937 colocado no ranking
Up in the Air, dirigido por Jason Reitman, no ano de 2009, tem metascore de 0 e é o 940 colocado no ranking
Triangle, dirigido por Christopher Smith, no ano de 2009, tem metascore de 66 e é o 946 colocado no ranking
