Inception, dirigido por Christopher Nolan, no ano de 2010, tem metascore de 74 e é o 81 colocado no ranking
Shutter Island, dirigido por Martin Scorsese, no ano de 2010, tem metascore de 63 e é o 139 colocado no ranking
Diary of a Wimpy Kid, dirigido por Thor Freudenthal, no ano de 2010, tem metascore de 56 e é o 142 colocado no ranking
Scott Pilgrim vs. the World, dirigido por Edgar Wright, no ano de 2010, tem metascore de 69 e é o 159 colocado no ranking
Kick-Ass, dirigido por Matthew Vaughn, no ano de 2010, tem metascore de 66 e é o 220 colocado no ranking
Predators, dirigido por Nimród Antal, no ano de 2010, tem metascore de 51 e é o 228 colocado no ranking
Percy Jackson & the Olympians: The Lightning Thief, dirigido por Chris Columbus, no ano de 2010, tem metascore de 47 e é o 245 colocado no ranking
Black Swan, dirigido por Darren Aronofsky, no ano de 2010, tem metascore de 79 e é o 262 colocado no ranking
She's Out of My League, dirigido por Jim Field Smith, no ano de 2010, tem metascore de 46 e é o 305 colocado no ranking
The Social Network, dirigido por David Fincher, no ano de 2010, tem metascore de 95 e é o 325 colocado no ranking
Robin Hood, dirigido por Ridley Scott, no ano de 2010, tem metascore de 53 e é o 388 colocado no ranking
Despicable Me, dirigido por Pierre Coffin, no ano de 2010, tem metascore de 72 e é o 404 colocado no ranking
Tangled, dirigido por Nathan Greno, no ano de 2010, tem metascore de 71 e é o 408 colocado no ranking
Harry Potter and the Deathly Hallows: Part 1, dirigido por David Yates, no ano de 2010, tem metascore de 65 e é o 419 colocado no ranking
Srpski film, dirigido por Srdjan Spasojevic, no ano de 2010, tem metascore de 55 e é o 429 colocado no ranking
Blue Valentine, dirigido por Derek Cianfrance, no ano de 2010, tem metascore de 81 e é o 444 colocado no ranking
Iron Man 2, dirigido por Jon Favreau, no ano de 2010, tem metascore de 57 e é o 451 colocado no ranking
The Town, dirigido por Ben Affleck, no ano de 2010, tem metascore de 74 e é o 461 colocado no ranking
Salt, dirigido por Phillip Noyce, no ano de 2010, tem metascore de 65 e é o 467 colocado no ranking
The Other Guys, dirigido por Adam McKay, no ano de 2010, tem metascore de 64 e é o 470 colocado no ranking
Stake Land, dirigido por Jim Mickle, no ano de 2010, tem metascore de 66 e é o 491 colocado no ranking
The Book of Eli, dirigido por Albert Hughes, no ano de 2010, tem metascore de 53 e é o 492 colocado no ranking
Easy A, dirigido por Will Gluck, no ano de 2010, tem metascore de 72 e é o 516 colocado no ranking
Trust, dirigido por David Schwimmer, no ano de 2010, tem metascore de 60 e é o 525 colocado no ranking
The Ghost Writer, dirigido por Roman Polanski, no ano de 2010, tem metascore de 77 e é o 541 colocado no ranking
Alice in Wonderland, dirigido por Tim Burton, no ano de 2010, tem metascore de 53 e é o 548 colocado no ranking
The Expendables, dirigido por Sylvester Stallone, no ano de 2010, tem metascore de 45 e é o 561 colocado no ranking
Clash of the Titans, dirigido por Louis Leterrier, no ano de 2010, tem metascore de 39 e é o 576 colocado no ranking
Tron, dirigido por Joseph Kosinski, no ano de 2010, tem metascore de 49 e é o 578 colocado no ranking
All Good Things, dirigido por Andrew Jarecki, no ano de 2010, tem metascore de 57 e é o 580 colocado no ranking
The Last Airbender, dirigido por M. Night Shyamalan, no ano de 2010, tem metascore de 20 e é o 582 colocado no ranking
Let Me In, dirigido por Matt Reeves, no ano de 2010, tem metascore de 79 e é o 596 colocado no ranking
Megamind, dirigido por Tom McGrath, no ano de 2010, tem metascore de 63 e é o 600 colocado no ranking
Winter's Bone, dirigido por Debra Granik, no ano de 2010, tem metascore de 0 e é o 607 colocado no ranking
Love & Other Drugs, dirigido por Edward Zwick, no ano de 2010, tem metascore de 55 e é o 631 colocado no ranking
Insidious, dirigido por James Wan, no ano de 2010, tem metascore de 52 e é o 653 colocado no ranking
The King's Speech, dirigido por Tom Hooper, no ano de 2010, tem metascore de 88 e é o 686 colocado no ranking
Toy Story 3, dirigido por Lee Unkrich, no ano de 2010, tem metascore de 92 e é o 689 colocado no ranking
RED, dirigido por Robert Schwentke, no ano de 2010, tem metascore de 60 e é o 703 colocado no ranking
Faster, dirigido por George Tillman Jr., no ano de 2010, tem metascore de 44 e é o 705 colocado no ranking
Incendies, dirigido por Denis Villeneuve, no ano de 2010, tem metascore de 80 e é o 714 colocado no ranking
Grown Ups, dirigido por Dennis Dugan, no ano de 2010, tem metascore de 30 e é o 723 colocado no ranking
The Karate Kid, dirigido por Harald Zwart, no ano de 2010, tem metascore de 61 e é o 725 colocado no ranking
The A-Team, dirigido por Joe Carnahan, no ano de 2010, tem metascore de 47 e é o 729 colocado no ranking
True Grit, dirigido por Ethan Coen, no ano de 2010, tem metascore de 80 e é o 744 colocado no ranking
The Fighter, dirigido por David O. Russell, no ano de 2010, tem metascore de 79 e é o 760 colocado no ranking
How to Train Your Dragon, dirigido por Dean DeBlois, no ano de 2010, tem metascore de 74 e é o 773 colocado no ranking
Prince of Persia: The Sands of Time, dirigido por Mike Newell, no ano de 2010, tem metascore de 50 e é o 807 colocado no ranking
127 Hours, dirigido por Danny Boyle, no ano de 2010, tem metascore de 82 e é o 818 colocado no ranking
Unstoppable, dirigido por Tony Scott, no ano de 2010, tem metascore de 69 e é o 845 colocado no ranking
