Prometheus, dirigido por Ridley Scott, no ano de 2012, tem metascore de 65 e é o 2 colocado no ranking
The Avengers, dirigido por Joss Whedon, no ano de 2012, tem metascore de 69 e é o 77 colocado no ranking
The Dark Knight Rises, dirigido por Christopher Nolan, no ano de 2012, tem metascore de 78 e é o 125 colocado no ranking
The Place Beyond the Pines, dirigido por Derek Cianfrance, no ano de 2012, tem metascore de 68 e é o 136 colocado no ranking
Django Unchained, dirigido por Quentin Tarantino, no ano de 2012, tem metascore de 81 e é o 145 colocado no ranking
The Hunger Games, dirigido por Gary Ross, no ano de 2012, tem metascore de 68 e é o 152 colocado no ranking
Spring Breakers, dirigido por Harmony Korine, no ano de 2012, tem metascore de 63 e é o 212 colocado no ranking
The Perks of Being a Wallflower, dirigido por Stephen Chbosky, no ano de 2012, tem metascore de 67 e é o 236 colocado no ranking
Les Misérables, dirigido por Tom Hooper, no ano de 2012, tem metascore de 63 e é o 246 colocado no ranking
Battleship, dirigido por Peter Berg, no ano de 2012, tem metascore de 41 e é o 257 colocado no ranking
Cloud Atlas, dirigido por Tom Tykwer, no ano de 2012, tem metascore de 55 e é o 268 colocado no ranking
Skyfall, dirigido por Sam Mendes, no ano de 2012, tem metascore de 81 e é o 271 colocado no ranking
The Hobbit: An Unexpected Journey, dirigido por Peter Jackson, no ano de 2012, tem metascore de 58 e é o 272 colocado no ranking
21 Jump Street, dirigido por Phil Lord, no ano de 2012, tem metascore de 69 e é o 273 colocado no ranking
Pitch Perfect, dirigido por Jason Moore, no ano de 2012, tem metascore de 66 e é o 292 colocado no ranking
The Cabin in the Woods, dirigido por Drew Goddard, no ano de 2012, tem metascore de 72 e é o 303 colocado no ranking
Lincoln, dirigido por Steven Spielberg, no ano de 2012, tem metascore de 86 e é o 334 colocado no ranking
Silver Linings Playbook, dirigido por David O. Russell, no ano de 2012, tem metascore de 81 e é o 337 colocado no ranking
Looper, dirigido por Rian Johnson, no ano de 2012, tem metascore de 84 e é o 342 colocado no ranking
The Twilight Saga: Breaking Dawn - Part 2, dirigido por Bill Condon, no ano de 2012, tem metascore de 52 e é o 367 colocado no ranking
The Amazing Spider-Man, dirigido por Marc Webb, no ano de 2012, tem metascore de 66 e é o 369 colocado no ranking
John Carter, dirigido por Andrew Stanton, no ano de 2012, tem metascore de 51 e é o 390 colocado no ranking
Magic Mike, dirigido por Steven Soderbergh, no ano de 2012, tem metascore de 72 e é o 400 colocado no ranking
Zero Dark Thirty, dirigido por Kathryn Bigelow, no ano de 2012, tem metascore de 95 e é o 407 colocado no ranking
The imposible, dirigido por J.A. Bayona, no ano de 2012, tem metascore de 73 e é o 438 colocado no ranking
Dredd, dirigido por Pete Travis, no ano de 2012, tem metascore de 59 e é o 447 colocado no ranking
Jagten, dirigido por Thomas Vinterberg, no ano de 2012, tem metascore de 76 e é o 456 colocado no ranking
Argo, dirigido por Ben Affleck, no ano de 2012, tem metascore de 86 e é o 475 colocado no ranking
Moonrise Kingdom, dirigido por Wes Anderson, no ano de 2012, tem metascore de 84 e é o 486 colocado no ranking
Men in Black 3, dirigido por Barry Sonnenfeld, no ano de 2012, tem metascore de 58 e é o 497 colocado no ranking
Savages, dirigido por Oliver Stone, no ano de 2012, tem metascore de 59 e é o 507 colocado no ranking
The Bourne Legacy, dirigido por Tony Gilroy, no ano de 2012, tem metascore de 61 e é o 530 colocado no ranking
Jack Reacher, dirigido por Christopher McQuarrie, no ano de 2012, tem metascore de 50 e é o 537 colocado no ranking
Sinister, dirigido por Scott Derrickson, no ano de 2012, tem metascore de 53 e é o 563 colocado no ranking
Wreck-It Ralph, dirigido por Rich Moore, no ano de 2012, tem metascore de 72 e é o 564 colocado no ranking
Snow White and the Huntsman, dirigido por Rupert Sanders, no ano de 2012, tem metascore de 57 e é o 565 colocado no ranking
What to Expect When You're Expecting, dirigido por Kirk Jones, no ano de 2012, tem metascore de 41 e é o 584 colocado no ranking
Brave, dirigido por Mark Andrews, no ano de 2012, tem metascore de 69 e é o 590 colocado no ranking
Underworld Awakening, dirigido por Måns Mårlind, no ano de 2012, tem metascore de 39 e é o 622 colocado no ranking
Total Recall, dirigido por Len Wiseman, no ano de 2012, tem metascore de 43 e é o 626 colocado no ranking
Lawless, dirigido por John Hillcoat, no ano de 2012, tem metascore de 58 e é o 638 colocado no ranking
American Reunion, dirigido por Jon Hurwitz, no ano de 2012, tem metascore de 49 e é o 640 colocado no ranking
The First Time, dirigido por Jon Kasdan, no ano de 2012, tem metascore de 55 e é o 662 colocado no ranking
Anna Karenina, dirigido por Joe Wright, no ano de 2012, tem metascore de 63 e é o 666 colocado no ranking
Resident Evil: Retribution, dirigido por Paul W.S. Anderson, no ano de 2012, tem metascore de 39 e é o 691 colocado no ranking
Life of Pi, dirigido por Ang Lee, no ano de 2012, tem metascore de 79 e é o 695 colocado no ranking
Ted, dirigido por Seth MacFarlane, no ano de 2012, tem metascore de 62 e é o 702 colocado no ranking
Dark Shadows, dirigido por Tim Burton, no ano de 2012, tem metascore de 55 e é o 726 colocado no ranking
This Means War, dirigido por McG, no ano de 2012, tem metascore de 31 e é o 754 colocado no ranking
Man on a Ledge, dirigido por Asger Leth, no ano de 2012, tem metascore de 40 e é o 795 colocado no ranking
