The Wolf of Wall Street, dirigido por Martin Scorsese, no ano de 2013, tem metascore de 75 e é o 83 colocado no ranking
Prisoners, dirigido por Denis Villeneuve, no ano de 2013, tem metascore de 74 e é o 91 colocado no ranking
12 Years a Slave, dirigido por Steve McQueen, no ano de 2013, tem metascore de 96 e é o 112 colocado no ranking
Furious 6, dirigido por Justin Lin, no ano de 2013, tem metascore de 61 e é o 135 colocado no ranking
The Great Gatsby, dirigido por Baz Luhrmann, no ano de 2013, tem metascore de 55 e é o 138 colocado no ranking
Pacific Rim, dirigido por Guillermo del Toro, no ano de 2013, tem metascore de 64 e é o 157 colocado no ranking
Her, dirigido por Spike Jonze, no ano de 2013, tem metascore de 90 e é o 174 colocado no ranking
Frozen, dirigido por Chris Buck, no ano de 2013, tem metascore de 74 e é o 175 colocado no ranking
Old Boy, dirigido por Spike Lee, no ano de 2013, tem metascore de 49 e é o 214 colocado no ranking
Thor: The Dark World, dirigido por Alan Taylor, no ano de 2013, tem metascore de 54 e é o 215 colocado no ranking
We're the Millers, dirigido por Rawson Marshall Thurber, no ano de 2013, tem metascore de 44 e é o 225 colocado no ranking
The Host, dirigido por Andrew Niccol, no ano de 2013, tem metascore de 35 e é o 240 colocado no ranking
The Conjuring, dirigido por James Wan, no ano de 2013, tem metascore de 68 e é o 255 colocado no ranking
Nymphomaniac: Vol. I, dirigido por Lars von Trier, no ano de 2013, tem metascore de 64 e é o 264 colocado no ranking
Oblivion, dirigido por Joseph Kosinski, no ano de 2013, tem metascore de 54 e é o 276 colocado no ranking
Iron Man Three, dirigido por Shane Black, no ano de 2013, tem metascore de 62 e é o 280 colocado no ranking
Now You See Me, dirigido por Louis Leterrier, no ano de 2013, tem metascore de 50 e é o 281 colocado no ranking
Man of Steel, dirigido por Zack Snyder, no ano de 2013, tem metascore de 55 e é o 295 colocado no ranking
Lone Survivor, dirigido por Peter Berg, no ano de 2013, tem metascore de 60 e é o 302 colocado no ranking
La vie d'Adèle, dirigido por Abdellatif Kechiche, no ano de 2013, tem metascore de 88 e é o 312 colocado no ranking
Snowpiercer, dirigido por Bong Joon Ho, no ano de 2013, tem metascore de 84 e é o 316 colocado no ranking
Dallas Buyers Club, dirigido por Jean-Marc Vallée, no ano de 2013, tem metascore de 84 e é o 333 colocado no ranking
Rush, dirigido por Ron Howard, no ano de 2013, tem metascore de 75 e é o 335 colocado no ranking
White House Down, dirigido por Roland Emmerich, no ano de 2013, tem metascore de 52 e é o 343 colocado no ranking
American Hustle, dirigido por David O. Russell, no ano de 2013, tem metascore de 90 e é o 348 colocado no ranking
This Is the End, dirigido por Evan Goldberg, no ano de 2013, tem metascore de 67 e é o 359 colocado no ranking
About Time, dirigido por Richard Curtis, no ano de 2013, tem metascore de 55 e é o 360 colocado no ranking
Star Trek Into Darkness, dirigido por J.J. Abrams, no ano de 2013, tem metascore de 72 e é o 363 colocado no ranking
The Wolverine, dirigido por James Mangold, no ano de 2013, tem metascore de 60 e é o 389 colocado no ranking
Grown Ups 2, dirigido por Dennis Dugan, no ano de 2013, tem metascore de 19 e é o 395 colocado no ranking
Monsters University, dirigido por Dan Scanlon, no ano de 2013, tem metascore de 65 e é o 413 colocado no ranking
World War Z, dirigido por Marc Forster, no ano de 2013, tem metascore de 63 e é o 433 colocado no ranking
Filth, dirigido por Jon S. Baird, no ano de 2013, tem metascore de 0 e é o 436 colocado no ranking
Kick-Ass 2, dirigido por Jeff Wadlow, no ano de 2013, tem metascore de 41 e é o 439 colocado no ranking
Oz the Great and Powerful, dirigido por Sam Raimi, no ano de 2013, tem metascore de 44 e é o 441 colocado no ranking
Carrie, dirigido por Kimberly Peirce, no ano de 2013, tem metascore de 53 e é o 450 colocado no ranking
Olympus Has Fallen, dirigido por Antoine Fuqua, no ano de 2013, tem metascore de 41 e é o 454 colocado no ranking
Enemy, dirigido por Denis Villeneuve, no ano de 2013, tem metascore de 61 e é o 468 colocado no ranking
Safe Haven, dirigido por Lasse Hallström, no ano de 2013, tem metascore de 34 e é o 488 colocado no ranking
Under the Skin, dirigido por Jonathan Glazer, no ano de 2013, tem metascore de 78 e é o 495 colocado no ranking
Movie 43, dirigido por Elizabeth Banks, no ano de 2013, tem metascore de 18 e é o 509 colocado no ranking
Gravity, dirigido por Alfonso Cuarón, no ano de 2013, tem metascore de 96 e é o 510 colocado no ranking
The Hobbit: The Desolation of Smaug, dirigido por Peter Jackson, no ano de 2013, tem metascore de 66 e é o 519 colocado no ranking
Half of a Yellow Sun, dirigido por Biyi Bandele, no ano de 2013, tem metascore de 51 e é o 520 colocado no ranking
The Counselor, dirigido por Ridley Scott, no ano de 2013, tem metascore de 48 e é o 522 colocado no ranking
Elysium, dirigido por Neill Blomkamp, no ano de 2013, tem metascore de 0 e é o 527 colocado no ranking
The Green Inferno, dirigido por Eli Roth, no ano de 2013, tem metascore de 38 e é o 528 colocado no ranking
Evil Dead, dirigido por Fede Alvarez, no ano de 2013, tem metascore de 57 e é o 562 colocado no ranking
The Hunger Games: Catching Fire, dirigido por Francis Lawrence, no ano de 2013, tem metascore de 76 e é o 579 colocado no ranking
Adoration, dirigido por Anne Fontaine, no ano de 2013, tem metascore de 37 e é o 592 colocado no ranking
