Guardians of the Galaxy, dirigido por James Gunn, no ano de 2014, tem metascore de 76 e é o 1 colocado no ranking
Interstellar, dirigido por Christopher Nolan, no ano de 2014, tem metascore de 74 e é o 37 colocado no ranking
John Wick, dirigido por Chad Stahelski, no ano de 2014, tem metascore de 68 e é o 54 colocado no ranking
Kingsman: The Secret Service, dirigido por Matthew Vaughn, no ano de 2014, tem metascore de 58 e é o 66 colocado no ranking
Gone Girl, dirigido por David Fincher, no ano de 2014, tem metascore de 79 e é o 84 colocado no ranking
Ex Machina, dirigido por Alex Garland, no ano de 2014, tem metascore de 78 e é o 110 colocado no ranking
Divergent, dirigido por Neil Burger, no ano de 2014, tem metascore de 48 e é o 122 colocado no ranking
Transformers: Age of Extinction, dirigido por Michael Bay, no ano de 2014, tem metascore de 32 e é o 127 colocado no ranking
Into the Woods, dirigido por Rob Marshall, no ano de 2014, tem metascore de 69 e é o 132 colocado no ranking
Whiplash, dirigido por Damien Chazelle, no ano de 2014, tem metascore de 88 e é o 134 colocado no ranking
Twin Peaks: The Missing Pieces, dirigido por David Lynch, no ano de 2014, tem metascore de 0 e é o 155 colocado no ranking
X-Men: Days of Future Past, dirigido por Bryan Singer, no ano de 2014, tem metascore de 74 e é o 163 colocado no ranking
Nightcrawler, dirigido por Dan Gilroy, no ano de 2014, tem metascore de 76 e é o 171 colocado no ranking
Dawn of the Planet of the Apes, dirigido por Matt Reeves, no ano de 2014, tem metascore de 79 e é o 177 colocado no ranking
The Imitation Game, dirigido por Morten Tyldum, no ano de 2014, tem metascore de 73 e é o 199 colocado no ranking
Edge of Tomorrow, dirigido por Doug Liman, no ano de 2014, tem metascore de 71 e é o 201 colocado no ranking
Captain America: The Winter Soldier, dirigido por Anthony Russo, no ano de 2014, tem metascore de 70 e é o 217 colocado no ranking
It Follows, dirigido por David Robert Mitchell, no ano de 2014, tem metascore de 83 e é o 223 colocado no ranking
Maleficent, dirigido por Robert Stromberg, no ano de 2014, tem metascore de 56 e é o 229 colocado no ranking
The Grand Budapest Hotel, dirigido por Wes Anderson, no ano de 2014, tem metascore de 88 e é o 239 colocado no ranking
Fury, dirigido por David Ayer, no ano de 2014, tem metascore de 64 e é o 241 colocado no ranking
The Amazing Spider-Man 2, dirigido por Marc Webb, no ano de 2014, tem metascore de 53 e é o 254 colocado no ranking
Birdman or (The Unexpected Virtue of Ignorance), dirigido por Alejandro González Iñárritu, no ano de 2014, tem metascore de 88 e é o 261 colocado no ranking
Dear White People, dirigido por Justin Simien, no ano de 2014, tem metascore de 79 e é o 263 colocado no ranking
22 Jump Street, dirigido por Phil Lord, no ano de 2014, tem metascore de 71 e é o 277 colocado no ranking
Hercules, dirigido por Brett Ratner, no ano de 2014, tem metascore de 47 e é o 285 colocado no ranking
The Equalizer, dirigido por Antoine Fuqua, no ano de 2014, tem metascore de 57 e é o 301 colocado no ranking
Inherent Vice, dirigido por Paul Thomas Anderson, no ano de 2014, tem metascore de 81 e é o 306 colocado no ranking
The Babadook, dirigido por Jennifer Kent, no ano de 2014, tem metascore de 86 e é o 313 colocado no ranking
The Hobbit: The Battle of the Five Armies, dirigido por Peter Jackson, no ano de 2014, tem metascore de 59 e é o 314 colocado no ranking
American Sniper, dirigido por Clint Eastwood, no ano de 2014, tem metascore de 72 e é o 332 colocado no ranking
The Fault in Our Stars, dirigido por Josh Boone, no ano de 2014, tem metascore de 69 e é o 339 colocado no ranking
Blended, dirigido por Frank Coraci, no ano de 2014, tem metascore de 31 e é o 340 colocado no ranking
Seventh Son, dirigido por Sergei Bodrov, no ano de 2014, tem metascore de 30 e é o 356 colocado no ranking
The Theory of Everything, dirigido por James Marsh, no ano de 2014, tem metascore de 72 e é o 358 colocado no ranking
Clown, dirigido por Jon Watts, no ano de 2014, tem metascore de 42 e é o 362 colocado no ranking
The Maze Runner, dirigido por Wes Ball, no ano de 2014, tem metascore de 57 e é o 372 colocado no ranking
The Expendables 3, dirigido por Patrick Hughes, no ano de 2014, tem metascore de 35 e é o 380 colocado no ranking
What We Do in the Shadows, dirigido por Jemaine Clement, no ano de 2014, tem metascore de 76 e é o 381 colocado no ranking
The Lego Movie, dirigido por Phil Lord, no ano de 2014, tem metascore de 83 e é o 385 colocado no ranking
The Best of Me, dirigido por Michael Hoffman, no ano de 2014, tem metascore de 29 e é o 405 colocado no ranking
Tusk, dirigido por Kevin Smith, no ano de 2014, tem metascore de 55 e é o 416 colocado no ranking
300: Rise of an Empire, dirigido por Noam Murro, no ano de 2014, tem metascore de 48 e é o 424 colocado no ranking
Sin City: A Dame to Kill For, dirigido por Frank Miller, no ano de 2014, tem metascore de 46 e é o 427 colocado no ranking
Big Hero 6, dirigido por Don Hall, no ano de 2014, tem metascore de 74 e é o 449 colocado no ranking
Predestination, dirigido por Michael Spierig, no ano de 2014, tem metascore de 69 e é o 464 colocado no ranking
The Giver, dirigido por Phillip Noyce, no ano de 2014, tem metascore de 47 e é o 482 colocado no ranking
Exodus: Gods and Kings, dirigido por Ridley Scott, no ano de 2014, tem metascore de 52 e é o 517 colocado no ranking
Godzilla, dirigido por Gareth Edwards, no ano de 2014, tem metascore de 62 e é o 529 colocado no ranking
Lucy, dirigido por Luc Besson, no ano de 2014, tem metascore de 61 e é o 534 colocado no ranking
