Bahubali: The Beginning, dirigido por S.S. Rajamouli, no ano de 2015, tem metascore de 0 e é o 27 colocado no ranking
Star Wars: Episode VII - The Force Awakens, dirigido por J.J. Abrams, no ano de 2015, tem metascore de 81 e é o 51 colocado no ranking
Fifty Shades of Grey, dirigido por Sam Taylor-Johnson, no ano de 2015, tem metascore de 46 e é o 64 colocado no ranking
Mad Max: Fury Road, dirigido por George Miller, no ano de 2015, tem metascore de 90 e é o 68 colocado no ranking
Furious Seven, dirigido por James Wan, no ano de 2015, tem metascore de 67 e é o 85 colocado no ranking
Jurassic World, dirigido por Colin Trevorrow, no ano de 2015, tem metascore de 59 e é o 86 colocado no ranking
The Hateful Eight, dirigido por Quentin Tarantino, no ano de 2015, tem metascore de 68 e é o 89 colocado no ranking
Avengers: Age of Ultron, dirigido por Joss Whedon, no ano de 2015, tem metascore de 66 e é o 95 colocado no ranking
Legend, dirigido por Brian Helgeland, no ano de 2015, tem metascore de 55 e é o 101 colocado no ranking
The Martian, dirigido por Ridley Scott, no ano de 2015, tem metascore de 80 e é o 103 colocado no ranking
The Man from U.N.C.L.E., dirigido por Guy Ritchie, no ano de 2015, tem metascore de 56 e é o 105 colocado no ranking
The Revenant, dirigido por Alejandro González Iñárritu, no ano de 2015, tem metascore de 76 e é o 130 colocado no ranking
The Big Short, dirigido por Adam McKay, no ano de 2015, tem metascore de 81 e é o 143 colocado no ranking
Room, dirigido por Lenny Abrahamson, no ano de 2015, tem metascore de 86 e é o 144 colocado no ranking
Sicario, dirigido por Denis Villeneuve, no ano de 2015, tem metascore de 82 e é o 154 colocado no ranking
Woman in Gold, dirigido por Simon Curtis, no ano de 2015, tem metascore de 51 e é o 168 colocado no ranking
Spectre, dirigido por Sam Mendes, no ano de 2015, tem metascore de 60 e é o 170 colocado no ranking
Tomorrowland, dirigido por Brad Bird, no ano de 2015, tem metascore de 60 e é o 176 colocado no ranking
Ant-Man, dirigido por Peyton Reed, no ano de 2015, tem metascore de 64 e é o 180 colocado no ranking
The VVitch: A New-England Folktale, dirigido por Robert Eggers, no ano de 2015, tem metascore de 83 e é o 182 colocado no ranking
Cinderella, dirigido por Kenneth Branagh, no ano de 2015, tem metascore de 67 e é o 183 colocado no ranking
Love, dirigido por Gaspar Noé, no ano de 2015, tem metascore de 51 e é o 186 colocado no ranking
Crimson Peak, dirigido por Guillermo del Toro, no ano de 2015, tem metascore de 66 e é o 188 colocado no ranking
Trainwreck, dirigido por Judd Apatow, no ano de 2015, tem metascore de 75 e é o 190 colocado no ranking
Spotlight, dirigido por Tom McCarthy, no ano de 2015, tem metascore de 93 e é o 193 colocado no ranking
San Andreas, dirigido por Brad Peyton, no ano de 2015, tem metascore de 43 e é o 211 colocado no ranking
Hardcore Henry, dirigido por Ilya Naishuller, no ano de 2015, tem metascore de 51 e é o 221 colocado no ranking
The Lobster, dirigido por Yorgos Lanthimos, no ano de 2015, tem metascore de 82 e é o 227 colocado no ranking
Mission: Impossible - Rogue Nation, dirigido por Christopher McQuarrie, no ano de 2015, tem metascore de 75 e é o 234 colocado no ranking
Inside Out, dirigido por Pete Docter, no ano de 2015, tem metascore de 94 e é o 242 colocado no ranking
Terminator Genisys, dirigido por Alan Taylor, no ano de 2015, tem metascore de 38 e é o 244 colocado no ranking
Spy, dirigido por Paul Feig, no ano de 2015, tem metascore de 75 e é o 249 colocado no ranking
Straight Outta Compton, dirigido por F. Gary Gray, no ano de 2015, tem metascore de 72 e é o 253 colocado no ranking
Knock Knock, dirigido por Eli Roth, no ano de 2015, tem metascore de 53 e é o 266 colocado no ranking
The Danish Girl, dirigido por Tom Hooper, no ano de 2015, tem metascore de 66 e é o 284 colocado no ranking
Jupiter Ascending, dirigido por Lana Wachowski, no ano de 2015, tem metascore de 40 e é o 288 colocado no ranking
The Visit, dirigido por M. Night Shyamalan, no ano de 2015, tem metascore de 55 e é o 319 colocado no ranking
The Last Witch Hunter, dirigido por Breck Eisner, no ano de 2015, tem metascore de 34 e é o 326 colocado no ranking
Victor Frankenstein, dirigido por Paul McGuigan, no ano de 2015, tem metascore de 36 e é o 327 colocado no ranking
Green Room, dirigido por Jeremy Saulnier, no ano de 2015, tem metascore de 79 e é o 329 colocado no ranking
Blackhat, dirigido por Michael Mann, no ano de 2015, tem metascore de 51 e é o 330 colocado no ranking
Joy, dirigido por David O. Russell, no ano de 2015, tem metascore de 56 e é o 352 colocado no ranking
The Dressmaker, dirigido por Jocelyn Moorhouse, no ano de 2015, tem metascore de 47 e é o 353 colocado no ranking
Insurgent, dirigido por Robert Schwentke, no ano de 2015, tem metascore de 42 e é o 355 colocado no ranking
Black Mass, dirigido por Scott Cooper, no ano de 2015, tem metascore de 68 e é o 377 colocado no ranking
Creed, dirigido por Ryan Coogler, no ano de 2015, tem metascore de 82 e é o 378 colocado no ranking
Southpaw, dirigido por Antoine Fuqua, no ano de 2015, tem metascore de 57 e é o 382 colocado no ranking
Bridge of Spies, dirigido por Steven Spielberg, no ano de 2015, tem metascore de 81 e é o 384 colocado no ranking
Everest, dirigido por Baltasar Kormákur, no ano de 2015, tem metascore de 64 e é o 386 colocado no ranking
Pixels, dirigido por Chris Columbus, no ano de 2015, tem metascore de 27 e é o 387 colocado no ranking
